region,claimdy,claim,dyadnum,chal,tgt,dyad,year,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,tchomechal,tchometgt,tcpop,tcresource,tcstratloc,tcidenchal,tcidentgt,tchistchal,tchisttgt,tcoffshore,tcentirecl,midissyr,midfatyr,waryr,recmid5,recmid10,recmidwt,recfat5,recfat10,recfatwt,recwar5,recwar10,recwarwt,version
1,201,2,1,2,200,2200,1816,3,1,2,1,0,3,2,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,201,2,1,2,200,2200,1817,3,1,2,1,0,3,2,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1816,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1817,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1818,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1819,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1820,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1821,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1822,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1823,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1824,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1825,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1826,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1827,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1828,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1829,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1830,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1831,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1832,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1833,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1834,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1835,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1836,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1837,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1838,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1839,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1840,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1841,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,.9,0,0,0,0,0,0,1.01
1,401,4,1,2,200,2200,1842,5,2,3,2,2,3,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,.8,0,0,0,0,0,0,1.01
1,501,5,1,2,20,2020,1971,5,2,2,3,2,3,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
1,501,5,1,2,20,2020,1972,5,2,2,3,2,3,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
