dispnum,ccode1,ccode2,year,sidea1,sidea2,revstate1,revstate2,revtype11,revtype12,revtype21,revtype22,fatality1,fatality2,fatalpre1,fatalpre2,hiact1,hiact2,hostlev1,hostlev2,orig1,orig2,midongoing,midonset,hiact,hostlev,mindur,maxdur,outcome,settle,fatality,fatalpre,stmon,endmon,version
2,2,200,1902,1,0,1,1,1,1,-9,-9,0,0,0,0,7,0,3,1,1,1,1,1,7,3,177,207,6,1,0,0,7,1,gml-2.0
2,2,200,1903,1,0,1,1,1,1,-9,-9,0,0,0,0,7,0,3,1,1,1,1,0,7,3,177,207,6,1,0,0,7,1,gml-2.0
3,300,345,1913,1,0,1,0,2,0,-9,-9,0,0,0,0,8,0,3,1,1,1,1,1,10,3,176,176,4,3,0,0,5,10,gml-2.0
4,200,339,1946,0,1,0,0,0,0,-9,-9,2,0,-9,0,7,16,3,4,1,1,1,1,16,4,182,182,6,1,2,-9,5,11,gml-2.0
7,200,651,1951,1,0,0,1,0,2,-9,-9,1,2,-9,-9,17,17,4,4,1,1,1,1,17,4,74,74,1,3,2,-9,11,1,gml-2.0
7,200,651,1952,1,0,0,1,0,2,-9,-9,1,2,-9,-9,17,17,4,4,1,1,1,0,17,4,74,74,1,3,2,-9,11,1,gml-2.0
8,200,630,1856,1,0,1,0,2,0,-9,-9,6,6,-9,-9,20,20,5,5,1,1,1,1,20,5,236,236,1,2,6,-9,7,3,gml-2.0
8,200,630,1857,1,0,1,0,2,0,-9,-9,6,6,-9,-9,20,20,5,5,1,1,1,0,20,5,236,236,1,2,6,-9,7,3,gml-2.0
9,200,235,1889,1,0,1,0,1,0,-9,-9,0,0,0,0,7,0,3,1,1,1,1,1,7,3,12,12,4,2,0,0,12,1,gml-2.0
9,200,235,1890,1,0,1,0,1,0,-9,-9,0,0,0,0,7,0,3,1,1,1,1,0,7,3,12,12,4,2,0,0,12,1,gml-2.0
11,255,305,1938,1,0,1,0,1,0,-9,-9,0,0,0,0,14,0,4,1,1,1,1,1,14,4,1,1,4,2,0,0,3,3,gml-2.0
12,200,255,1938,0,1,0,1,0,1,-9,-9,0,0,0,0,7,11,3,3,0,1,1,1,16,4,202,202,4,1,0,0,3,9,gml-2.0
12,211,255,1938,0,1,0,1,0,1,-9,-9,0,0,0,0,7,11,3,3,0,1,1,1,16,4,202,202,4,1,0,0,3,9,gml-2.0
12,220,255,1938,0,1,0,1,0,1,-9,-9,0,0,0,0,10,11,3,3,0,1,1,1,16,4,202,202,4,1,0,0,3,9,gml-2.0
12,255,315,1938,1,0,1,0,1,0,-9,-9,0,0,0,0,11,10,3,3,1,1,1,1,16,4,202,202,4,1,0,0,3,9,gml-2.0
